Financial Institution Name,total_assets,defaulter,Failure_Assistance ,log_TA,NI_to_TA,Equity_to_TA,NPL_to_TL,REO_to_TA,ALLL_to_TL,core_deposits_to_TA,brokered_deposits_to_TA,liquid_assets_to_TA,loss_provision_to_TL,ROA,NIM,assets_growth,term_spread,stock_mkt_growth,real_gdp_growth,unemployment_rate_change,treasury_yield_3m,bbb_spread,bbb_spread_change,log_TA_plus_1Q,NI_to_TA_plus_1Q,Equity_to_TA_plus_1Q,NPL_to_TL_plus_1Q,REO_to_TA_plus_1Q,ALLL_to_TL_plus_1Q,core_deposits_to_TA_plus_1Q,brokered_deposits_to_TA_plus_1Q,liquid_assets_to_TA_plus_1Q,loss_provision_to_TL_plus_1Q,ROA_plus_1Q,NIM_plus_1Q,assets_growth_plus_1Q,max_total_assets
FIRST VIETNAMESE AMERICAN BANK,57072,1,FAILURE,-0.721641433,-2.041098145,-1.206085022,5.895404944,-0.374868225,1.343341879,-3.096620132,-0.182974509,-0.352856614,-0.004219136,-2.041098145,-1.597527566,-2.013238297,1.08276285,-1.520346271,1.01858332,-0.782792199,-0.896454604,-0.053899292,0.41736579,-0.790062683,-2.269606415,-1.345569047,6.979124836,3.698340996,1.774509894,-2.541820644,-0.182974509,-0.312162442,0.003499262,-2.269606415,-1.268001823,-1.44564387,65188
NEW HORIZONS BANK,123346,1,FAILURE,-0.153307452,-1.255728358,-1.057147982,2.507244277,3.109316085,1.09014633,-0.039604087,-0.182974509,-0.955653106,-0.000846362,-1.255728358,-0.932035846,-0.305273562,1.08276285,-1.520346271,1.01858332,-0.782792199,-0.896454604,-0.053899292,0.41736579,-0.179511708,-3.344260033,-1.383483134,2.332230427,5.838877648,0.37459294,-0.22514218,-0.182974509,-0.905926166,0.056285157,-3.344260033,-1.020618008,-0.67534965,134026
CITIZENS BANK,12318853,0,,3.241810375,-0.316900711,-0.412594888,0.772726614,-0.012627667,0.528196291,-0.504876736,-0.182974509,-0.85176265,0.009618403,-0.316900711,-0.577141774,-0.27363114,0.248485801,-1.207667738,-2.86592154,2.173530085,-0.053517689,1.435756541,1.185991541,3.238675694,-2.321810138,-0.353098993,1.239110102,0.031468138,0.878474247,-0.495981593,-0.182974509,-0.696691761,0.024656312,-2.321810138,-0.615952153,-0.272685334,12538893
COLONIAL BANK,26222967,1,FAILURE,3.798953621,-0.622886947,-0.316391633,0.50850682,0.101888338,0.058466236,-1.532351968,-0.182974509,-0.473053007,0.016197942,-0.622886947,-0.820129252,-0.10518725,0.248485801,-1.207667738,-2.86592154,2.173530085,-0.053517689,1.435756541,1.185991541,3.782337856,-4.954939851,-0.971717977,0.87620725,0.087292801,0.263914414,-1.298530918,-0.182974509,-0.341218954,0.056201806,-4.954939851,-1.156115366,-0.506457771,27302220
"FREEDOM STATE BANK, THE",23058,1,FAILURE,-1.389988494,-0.032006495,-0.511802577,0.509761613,-0.374868225,-0.088843778,1.00066162,-0.182974509,1.413152348,-0.004325596,-0.032006495,-0.800547661,0.159185536,-0.400396348,0.188967984,-0.387875336,-0.782792199,-0.896454604,0.081523966,0.161157207,-1.42950305,0.076183132,-0.392131656,0.300688264,-0.374868225,-0.289410719,0.892616298,-0.182974509,0.877676372,-0.004325596,0.076183132,-0.530712646,-0.913467492,23218
FIRST CHOICE BANK,193336,1,FAILURE,0.178127038,-0.85660651,-1.220163272,2.610064742,4.704600792,1.689398564,-0.53944465,-0.182974509,-1.177856281,0.010479718,-0.85660651,-0.301631309,0.533082488,0.341183251,1.149291449,0.214892659,-0.454311945,-0.836244824,0.216947223,0.673574374,0.184000521,-1.595190882,-1.381010953,1.809369585,5.351033027,1.325198997,-0.620760627,-0.182974509,-0.936012234,0.014386011,-1.595190882,-0.861343393,-0.118841794,209271
INTEGRITY BANK,1298761,1,FAILURE,1.582765442,-0.142200635,-0.827185023,3.296607384,0.139357873,0.720833174,-0.019893973,-0.182974509,-0.822731932,-0.001659448,-0.142200635,-1.113112491,0.351552723,-1.698160646,0.042047507,0.214892659,0.531128816,1.632356139,-0.460169064,0.929782957,1.530391984,-2.515749514,-0.963957701,6.25726193,0.336791648,1.816796073,-0.055109145,-0.182974509,-0.893012413,0.05775651,-2.515749514,-1.647988559,-1.147627845,1298761
MORTON COMMUNITY BANK,1379153,0,,1.627055513,0.21665896,-0.514535859,-0.562262471,-0.280652226,-0.64470929,-1.948749404,-0.182974509,-0.855843199,-0.003589091,0.21665896,-0.98680349,-0.535924671,-1.976252995,0.568579421,0.482789546,-0.125831691,1.873195258,-0.866438837,0.41736579,1.631338367,0.201009268,-0.441446253,-0.506027882,-0.299704738,-0.659975323,-1.934249039,-0.182974509,-0.90997822,-0.003705383,0.201009268,-0.942296976,-0.145870506,3053721
PLAINSCAPITAL BANK,8580888,0,,2.975155082,0.496278547,0.510551754,-0.183887367,0.990679866,-0.655209168,-0.49585781,0.410808853,-0.988334612,-0.004217166,0.496278547,0.581532081,0.051776185,0.433880701,0.067939803,0.348841103,-0.454311945,-0.776035045,-0.460169064,0.161157207,2.954836943,0.526247571,0.682817272,-0.181216729,0.807941494,-0.610865674,-0.389175719,0.276280745,-1.03674037,-0.002305875,0.526247571,1.285614064,-0.571411312,8852294
MAINSOURCE BANK,806104,0,,1.231038639,0.34285123,-0.327236936,-0.11089388,-0.07363747,-0.182130869,0.714089183,-0.182974509,-0.148885075,-0.003066959,0.34285123,0.09191416,-0.482588872,0.433880701,1.674053308,0.951609098,0.531128816,-0.354566587,-0.189322549,-0.863677128,1.2566052,0.291810995,-0.380448789,-0.102863047,-0.098006006,-0.174852522,0.537241306,-0.182974509,-0.017702074,-0.003060915,0.291810995,-0.163331564,0.21100738,3385483
